"name","picurl","url"
"Sipelgapesa","http://pilt.toidutare.ee/pilt/05.2017/179273/311x311.jpg?t=1495011779","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C0B6/#Sipelgapesa"
"Arbuusi sisse segatud suvi","http://pilt.toidutare.ee/pilt/05.2017/179250/311x311.jpg?t=1494520740","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C0A6/#Arbuusi sisse segatud suvi"
"Sidrunijäätis, saleneja värskendav maius","http://pilt.toidutare.ee/pilt/05.2017/179262/311x311.jpg?t=1494845681","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C0AC/#Sidrunijäätis, saleneja värskendav maius"
"Koorene sidrunijäätis, hapukas koorene amps","http://pilt.toidutare.ee/pilt/05.2017/179261/311x311.jpg?t=1494845530","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C0AB/#Koorene sidrunijäätis, hapukas koorene amps"
"Õunasupp ingveri ja kaneeliga","http://pilt.toidutare.ee/pilt/05.2017/179242/311x311.jpg?t=1494354137","http://toidutare.ee/road/magustoidud_ja_maiustused/magusad_supid/1C09D/#Õunasupp ingveri ja kaneeliga"
"Hapupiima panna cotta rabarberi-maasikadžemmiga","http://pilt.toidutare.ee/pilt/05.2017/179234/311x311.jpg?t=1494185965","http://toidutare.ee/road/magustoidud_ja_maiustused/tarretised/1C098/#Hapupiima panna cotta rabarberi-maasikadžemmiga"
"Rabarber mandlikatte all","http://pilt.toidutare.ee/pilt/04.2017/179169/311x311.jpg?t=1493390070","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C06C/#Rabarber mandlikatte all"
"Kausikook puuvilja ja maasikatega","http://pilt.toidutare.ee/pilt/05.2017/179232/311x311.jpg?t=1494184142","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C096/#Kausikook puuvilja ja maasikatega"
"Üleküpsetatud jäätis","http://pilt.toidutare.ee/pilt/05.2017/179217/311x311.jpg?t=1493824989","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C088/#Üleküpsetatud jäätis"
"Rabarberi ja jogurtiga jäätisedessert","http://pilt.toidutare.ee/pilt/05.2017/179200/311x311.jpg?t=1493733030","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C077/#Rabarberi ja jogurtiga jäätisedessert"
"Trühvlid","http://pilt.toidutare.ee/pilt/03.2017/178989/311x311.jpg?t=1490800188","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BFD7/#Trühvlid"
"Mango-mandariini pokaalipasha laimiga","http://pilt.toidutare.ee/pilt/04.2017/179012/311x311.jpg?t=1491298510","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BFEB/#Mango-mandariini pokaalipasha laimiga"
"Astelpaju-semifreddo","http://pilt.toidutare.ee/pilt/04.2017/179063/311x311.jpg?t=1491474067","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C01D/#Astelpaju-semifreddo"
"Kihiline avokaado-laimimagustoit","http://pilt.toidutare.ee/pilt/04.2017/179018/311x311.jpg?t=1491306833","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1BFF1/#Kihiline avokaado-laimimagustoit"
"Toortatra Bircher-müsli marjadega","http://pilt.toidutare.ee/pilt/04.2017/179013/311x311.jpg?t=1491299771","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BFEC/#Toortatra Bircher-müsli marjadega"
"Vaarikapuding tšiiaseemnete ja pähklivõiga","http://pilt.toidutare.ee/pilt/03.2017/178979/311x311.jpg?t=1490786170","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BFBF/#Vaarikapuding tšiiaseemnete ja pähklivõiga"
"Koorekommid","http://pilt.toidutare.ee/pilt/03.2017/178891/311x311.jpg?t=1488968844","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BF77/#Koorekommid"
"Datlipallid","http://pilt.toidutare.ee/pilt/03.2017/178889/311x311.jpg?t=1488968384","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BF76/#Datlipallid"
"Ris à la Malta","http://pilt.toidutare.ee/pilt/03.2017/178890/311x311.jpg?t=1488968411","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BF75/#Ris à la Malta"
"Kookosejäätis","http://pilt.toidutare.ee/pilt/03.2017/178888/311x311.jpg?t=1488966939","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1BF74/#Kookosejäätis"
"Kodused müslibatoonid paisutatud kinoaga","http://pilt.toidutare.ee/pilt/03.2017/178881/311x311.jpg?t=1488813060","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BF6C/#Kodused müslibatoonid paisutatud kinoaga"
"Puuviljasalat mooni-jogurtikastmega","http://pilt.toidutare.ee/pilt/02.2017/178836/311x311.jpg?t=1487244508","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1BF38/#Puuviljasalat mooni-jogurtikastmega"
"Puuvilja-pähklišokolaadiampsud","http://pilt.toidutare.ee/pilt/02.2017/178818/311x311.jpg?t=1486565636","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BF22/#Puuvilja-pähklišokolaadiampsud"
"Puuvilja-pähkli-kaeraruudud","http://pilt.toidutare.ee/pilt/02.2017/178817/311x311.jpg?t=1486565205","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BF21/#Puuvilja-pähkli-kaeraruudud"
"Kondenspiima ja valge šokolaadi ruudud seedermänni seemnetega","http://pilt.toidutare.ee/pilt/02.2017/178805/311x311.jpg?t=1486384526","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BF13/#Kondenspiima ja valge šokolaadi ruudud seedermänni seemnetega"
"Greibikreem","http://pilt.toidutare.ee/pilt/02.2017/178810/311x311.jpg?t=1486544749","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BF19/#Greibikreem"
"Apelsinisalat granaatõunaseemnetega","http://pilt.toidutare.ee/pilt/01.2017/178753/311x311.jpg?t=1485354659","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1BEE3/#Apelsinisalat granaatõunaseemnetega"
"Astelpaju-kõrvitsa mannavaht","http://pilt.toidutare.ee/pilt/01.2017/178751/311x311.jpg?t=1485350924","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BEE1/#Astelpaju-kõrvitsa mannavaht"
"Mango-kookospiimapuding chiaseemnetega","http://pilt.toidutare.ee/pilt/01.2017/178701/311x311.jpg?t=1484144192","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BEA4/#Mango-kookospiimapuding chiaseemnetega"
"Müsli jõhvikate, valge šokolaadi ja õietolmuga","http://pilt.toidutare.ee/pilt/01.2017/178699/311x311.jpg?t=1484141811","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BEA2/#Müsli jõhvikate, valge šokolaadi ja õietolmuga"
"Magusad munasaiad","http://pilt.toidutare.ee/pilt/01.2017/178677/311x311.jpg?t=1483538769","http://toidutare.ee/road/magustoidud_ja_maiustused/1BE8A/#Magusad munasaiad"
"Tsitruse-cranachan ehk Šoti magusroog kaerahelvestega","http://pilt.toidutare.ee/pilt/12.2016/178646/311x311.jpg?t=1482935821","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1BE65/#Tsitruse-cranachan ehk Šoti magusroog kaerahelvestega"
"Kirju koer piparkookidega","http://pilt.toidutare.ee/pilt/12.2016/178649/311x311.jpg?t=1483003292","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BE68/#Kirju koer piparkookidega"
"Soolakaramelli-šokolaaditopsid","http://pilt.toidutare.ee/pilt/12.2016/178648/311x311.jpg?t=1483002192","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1BE67/#Soolakaramelli-šokolaaditopsid"
"Kausitort kama ja küpsistega","http://pilt.toidutare.ee/pilt/12.2016/178584/311x311.jpg?t=1481551904","http://toidutare.ee/road/magustoidud_ja_maiustused/1BE28/#Kausitort kama ja küpsistega"
"Hasselbacki pirnid kitsejuustuga","http://pilt.toidutare.ee/pilt/12.2016/178611/311x311.jpg?t=1481891468","http://toidutare.ee/road/magustoidud_ja_maiustused/1BE44/#Hasselbacki pirnid kitsejuustuga"
"Piparkoogijäätis","http://pilt.toidutare.ee/pilt/12.2016/178549/311x311.jpg?t=1480939510","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1BE05/#Piparkoogijäätis"
"Kookose-jogurtitarretis marjadega","http://pilt.toidutare.ee/pilt/12.2016/178562/311x311.jpg?t=1481101801","http://toidutare.ee/road/magustoidud_ja_maiustused/tarretised/1BE12/#Kookose-jogurtitarretis marjadega"
"Kodune “Nutella”","http://pilt.toidutare.ee/pilt/12.2016/178560/311x311.jpg?t=1481036087","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1BE10/#Kodune “Nutella”"
